name,lon,lat,correlation,rmse
hiva_oa_017a_french_polynesia_uhslc,-139.03,-9.81,-0.036080261,0.035124888
hobart_016_australia_johnhunter,147.33,-42.883,0.783352964,0.078102974
hoekvanholla_hvh_nl_rws,4.12,51.977,0.784010955,0.157635183
hofu_japan_jma,131.58,34.033,0.42656256,0.078075907
holyhead_p054_uk_bodc,-4.6312,53.308,0.791653235,0.106851954
hong_kong_b_329b_china_uhslc,114.2,22.3,0.757626836,0.081293823
"honiara,solomonislands_001_glossdm_bodc",159.96,-9.425,0.210727788,0.038959901
honmoku_japan_jma,139.67,35.433,0.542554383,0.078108308
honningsvaag_002_norway_statkart,25.973,70.98,0.736955432,0.089779719
"honolulu_b,hawaii_057b_usa_uhslc",-157.86,21.295,0.333233584,0.032679018
hon_dau_b_650b_vietnam_uhslc,106.82,20.667,0.463477871,0.098509244
hornbaek_838a_denmark_uhslc,12.467,56.1,0.803669414,0.12419248
"horta,azores_212a_portugal_uhslc",-28.622,38.533,0.743515312,0.047622095
hosojima_358a_japan_uhslc,131.68,32.417,0.571519277,0.069949071
huelva_huelva_spain_pde,-6.834,37.132,0.777178608,0.053871434
"humboldt_bay,_ca_576a_usa_uhslc",-124.22,40.767,0.78790176,0.055837842
ibiza_ibiza_spain_pde,1.4497,38.911,0.745135766,0.048976161
ile_royale_850a_france_uhslc,-52.585,5.285,0.225881384,0.040200321
ilfracombe_p061_uk_bodc,-4.1109,51.211,0.76594499,0.099553797
"ilha_fiscal,rj_280a_brazil_uhslc",-43.165,-22.897,0.676436936,0.106053293
"ilulissat,greenland_001_glossdm_bodc",-51.1,69.217,0.717709947,0.077530973
imbituba_718a_brazil_uhslc,-48.4,-28.133,0.769602051,0.114086535
immingham_p026_uk_bodc,-0.18603,53.631,0.685144079,0.141890119
imperia_imperia_italy_idromare,8.0188,43.878,0.758838792,0.047511357
irouzaki_japan_jma,138.85,34.617,0.61337696,0.069345817
"isabel_segunda,_pr_732a_usa_uhslc",-65.443,18.152,0.406165449,0.032896019
ishigaki_japan_jma,124.15,24.333,0.483429872,0.063850618
"isladapascua_e,chile_001_glossdm_bodc",-109.45,-27.15,0.595672589,0.057580178
iwasaki_japan_jma,139.92,40.583,0.579416515,0.083723388
"i_royal,anselegoff_851a_france_uhslc",-52.587,5.2883,0.249100298,0.044863178
jackson_403a_new_zealand_uhslc,168.62,-43.983,0.840185623,0.067934954
jakarta_161a_indonesia_uhslc,106.85,-6.1167,0.286540237,0.06884539
johnston_052a_usa_trust_uhslc,-169.53,16.738,0.209041808,0.071674299
johor_baharu_321a_malaysia_uhslc,103.79,1.4617,0.527428419,0.068720176
jolo_373a_philippines_uhslc,121,6.0667,0.290017651,0.031237666
juan_fernandez_b_021b_chile_uhslc,-78.833,-33.622,0.600948124,0.045241708
juneau_usa_noaa,-134.41,58.298,0.771969001,0.091953515
kagoshima_japan_jma,130.57,31.583,0.558819414,0.068563028
kahului_059a_usa_uhslc,-156.47,20.9,0.415221925,0.03322288
kalix_006_sweden_smhi,23.096,65.697,0.678432379,0.162521741
kanmen_a_632a_china_uhslc,121.28,28.088,0.766006302,0.090712
"kanton_b,kiribati_001_glossdm_bodc",-171.72,-2.81,0.223592668,0.036198571
kaohsiung_340a_republic_of_china_uhslc,120.29,22.615,0.489338829,0.05498693
kapingamarangi_029a_fd._st._micronesia_uhslc,154.78,1.0983,0.451180059,0.055196854
karachi_b_147b_pakistan_uhslc,66.967,24.8,0.221229137,0.132208746
kaskinen_005_finland_fmi,21.215,62.344,0.595217522,0.132830961
"kaumalapau,_hi_548a_usa_uhslc",-156.9,20.78,0.282793176,0.025549128
kavieng_068a_papua_new_guinea_uhslc,150.79,-2.585,0.253613459,0.033417085
kawaihae_552a_usa_uhslc,-155.83,20.033,0.261032991,0.038761288
kawasaki_japan_jma,139.75,35.517,0.621745488,0.072995065
keelung_341a_republic_of_china_uhslc,121.75,25.157,0.631710362,0.057328938
kelang_140a_malaysia_uhslc,101.36,3.05,0.395487229,0.072379397
keling_141a_malaysia_uhslc,102.15,2.215,0.31553765,0.054624779
kemi_006_finland_fmi,24.515,65.673,0.693303471,0.170865894
keppel_harbour_327a_singapore_uhslc,103.82,1.2633,0.429192311,0.060847883
kerguelen_001_glossdm_bodc,70.167,-48.858,0.699660495,0.076892466
kerguelen_180a_france_uhslc,70.22,-49.345,0.713891125,0.07697108
"ketchikan,ak_571a_usa_uhslc",-131.63,55.333,0.742629075,0.101359477
"key_west,fl_242a_usa_uhslc",-81.808,24.553,0.449603611,0.051312698
khal_#10_135a_bangladesh_uhslc,91.817,22.267,0.511655857,0.157252558
khepupara_139a_bangladesh_uhslc,89.833,21.833,0.428173374,0.196519742
kingedwardpoint_uk_noc,-36.497,-54.283,0.779375929,0.070757049
kinlochbervi_p918_uk_bodc,-5.0504,58.457,0.815147517,0.113869276
kiptopekebeach_usa_noaa,-75.988,37.165,0.78484431,0.087981225
klagshamn_007_sweden_smhi,12.894,55.522,0.57924067,0.126779111
knysna_186a_south_africa_uhslc,23.033,-32.033,0.806738786,0.078413862
kobe_japan_jma,135.18,34.683,0.604943664,0.076847465
kochi_japan_jma,133.57,33.5,0.549201042,0.077787212
"kodiak_isl.,alaska_039a_usa_uhslc",-152.51,57.732,0.765534194,0.083285353
komatsushima_japan_jma,134.58,34.017,0.574613813,0.074436333
kota_kinabalu_386a_malaysia_uhslc,116.07,5.9833,0.471950967,0.050197068
ko_lak_328a_thailand_uhslc,99.817,11.795,0.509427492,0.101911536
ko_taphao_noi_148a_thailand_uhslc,98.425,7.8317,0.236982976,0.067861096
kuantan_322a_malaysia_uhslc,103.43,3.975,0.574088103,0.06684966
kuchinotsu_japan_jma,130.2,32.6,0.545489248,0.068181762
kukup_325a_malaysia_uhslc,103.44,1.325,0.344094542,0.065134802
kumano_japan_jma,136.17,33.933,0.611029043,0.064959202
kungsholmsfort_008_sweden_smhi,15.589,56.105,0.592847199,0.120877641
kungsvik_009_sweden_smhi,11.127,58.997,0.802119198,0.119838365
kushimoto_japan_jma,135.78,33.467,0.589334516,0.071737722
kushiro_japan_jma,144.38,42.967,0.739626409,0.056331929
kwajalein_055a_rep._of_marshall_i_uhslc,167.73,8.7333,0.239568814,0.035795444
l._cornwallis_i._705a_canada_uhslc,-96.95,75.383,0.717159167,0.066150819
